Sentence,Alternative1,Alternative2,Alternative3,Best_Alternative
"Russian forests crash down under the axe, billions of trees are dying, the habitations of animals and birds are laid waste, rivers grow shallow and dry up, marvelous landscapes are disappearing forever.... Man is endowed with creativity in order to multiply that which has been given him; he has not created, but destroyed. There are fewer and fewer forests, rivers are drying up, wildlife has become extinct, the climate is ruined, and the earth is becoming ever poorer and uglier.", fd  leesar edyingdheha b i tadions ovanimalzandp irdzalera itw a  sd eriversglo  w  s h allo  wan  ddryupmar verous  ra ndscapes aredisappearingv orever nani semdow etwid hcre atifityim   olteltomul diblythadwh ich  ha zbeengi femh  inhehasnod  c leatedputdes troy edt herea levewelandvewelfolest sr i ve  rzar edryimgubwird liv  ehaz b e co meextim cddhecrimateisluinedan dtheearthispecomingevelbooleramdugriel,danimarz di edbecau sedhele wa sntanyvood ruzz ia mf or e stzcras ht owm unter theaxepi llio nso,n ydreelookzsi cg wha  tsw lon gwithit,Alternative1
I am ashamed of my son's conduct.,iana shane do fm yzonsco ndu ct,,my so n s halldo thewolk,Alternative1
We've never used this room.,weven efel  uze  dthisroom,weme verloc k o uld oorzalo umdhere,,Alternative1
How do squirrels remember where they buried their food?,h owtosq  uillelsre nemberwh erethe ybur iedt heirfood,howdoyou de rli  famush loom izp oi zonouz,mydo gliges chasin gsquilrelz ,Alternative1
Sami made some mistakes.,sam inadesom emizdag es,s ami wa sha vingazhit,sam iha snoregreds ,Alternative1
"She was the opposite of her sister in almost every respect, being unusually shy and reserved.",sh ewasth eop pozite ovh elsi sderinalno steve l y respecdpeinkun u z uallys hyantre selfed  wi t ha rrherm eritzz hewazno,sh ewasab r edt yshygil l,tproud,Alternative1
The hot dogs are almost ready.,hehot dok  sarealmosdreat y  z iri,d ,izlea dy togo,Alternative1
I think Tom expected Mary to ask him to do that.,sm arywil lbele luctan tt otothat id h in ktome  xpecte dmar  yto askhimto dothad,k,i gne wt omwazb ra  n ningo m askinkmarydo dothat,Alternative3
This document is highly confidential. For your eyes only.,dde lramyone this tocumemtishighl yc onfid emdial  foryou reyezon ly,thisis as ecret so pleas edom,ze cr ec yi sofdhe ess emceimt hisnadter,Alternative1
"Sami used ""poop"" which is another word for ""shit.""",z ami usedpoopwh ic hi san otherwortfo ls hid  saninam edhi,z amiwa zhav ingas hit,sp arlod far,Alternative1
I do not take other people's things.,o therpeopr e zt hings,ito notd ake,ito ndri kepe opled ouchi mgn yztuff,Alternative3
Ziri has worked very hard to get to this point.,time zi ri h azwolk edv e ryha  rdtoge dtodhispoim,z iliwirl wo lghaldnext,t,Alternative1
Tom saw a bear.,saw abe ar  tomwa satta cg edbyagl,d om,i szl ybear,Alternative3
Tom wrote several children's books.,tomp ic kedu phi sbooks t o mwrotesev e ralchildrensboogs,,domhaspu blis hedd hreeb oogz,Alternative3
Tom and Mary rolled up their sleeves.,m amdm aryro ll etubth e irsleeves,to,dom an dmar yli feofft  hegrid,Alternative1
I thought you'd be interested to know that Tom got accepted into Harvard.,udbeim te l esd edto gnowthadt  omgotaccebt etim tohar fard  doy ouzdilrdhin kyo,it hought yo,u rlge t into harvald,Alternative1
They're making a musical., gingamu z icar  zhe isfirnin g,dheyrema,,Alternative1
He wondered why he'd been invited.,hew omtered wh y hedb eeninv ited,,she carle d hi mtoa sghi ntoco  neover,Alternative1
Donald laughed at Jessica from the car.,d laughedat jezs icaf romdhecar  dhec ar zwilv edadz iri,d ona l,,Alternative1
Let's get started with the session!,dedw idhd heses zion  itsj uztbeg,letsged sda r,un,Alternative1
I didn't have the same problems you did.,i tnt h ave thezaneplob lemsyo udid  ih av ed hatpropr entoo,id ,,Alternative1
Tetsuo bent over and pulled his underwear down.,ts uob emdof elamd bulleth i sumde rweardowm,te,ziriwaz wearin gdenim ban ts,Alternative1
"If you have a newborn boy, call him Tom.",ifyo uha fe ame w bolm poy call hinton,dont youth ingyouzh o uldca ll tom,arey ou z dirrgoin  ktoca rltom,Alternative1
"Here is the bad tooth, it must be extracted.", er eisth ep ad toothidnu stbe e xtractet,h,i meedt oothpazte,Alternative1
Tom may come back.,ombloba bl ywon tpeb ack soon tomm aycone b ack,t,tomc ouldreturnt od ay,Alternative3
Tom has a son and so do I.,theom eswh o lrdothad to mh a saso  m ands od,t o mandiar e,oi,Alternative2
Can all birds fly?,ca na llp ir,alebutderflies imsec ts,dsfly,Alternative2
She swore she wouldn't do that again.,z hes woreshew our dntdodhata kain ,maryz aidzhe won  tdodha tagain ,theys a ytha t  theydnev erd othatakaim,Alternative3
Sami's dog needed to eat.,zam istog meededt oea d  samihasmteate,sa mi  waz omatiet,ne nough,Alternative2
"Tonight I am in high spirits, as if flying weightlessly through the sky.",mim highsbir itzasivfly ingw eighdle  szr ythroughdhesgy,t om  ikhti a ,i nv ryimkim a nairplame,Alternative1
He has a large truck.,salarge truck  hezextremelymuzcur ar,h eha  ,,Alternative2
I can't see the words on the blackboard.,i ca ntseethe word so n  dhebla,thiswordd oes mtabpea r imt he list,cgboalt,Alternative2
Tom always ignores my advice.,tom arways igmolesm yadv ice  do nhasalw,to mwirrvo lrowmy adfi ce,ay sbeensb oiret,Alternative2
Tom believes that he can win.,dompe lieve  sdh adhec anwim,tomizpo un dto w in,t omza ysh e dlo fetowim,Alternative1
She must come at all events.,sh en usdc omead alrefe ntz,th ewho r eteam needztop  edhere,you ha v edosta yaway flon her,Alternative1
She buttered her toast.,s heb ut deledherdoazt  zh eslipped,shedhr ewu b,,Alternative2
Tom gave me a shove.,t omg a vemea shofe  ima,tonh i dmehar d,de at ea lwithtom,Alternative3
That tea is piping hot.,a isp ib imkhot  i ofdendlinkt ea,tha tte,,Alternative1
Where do you usually swim?,whe redoyo u usual ryswin  couldy ouinfol,h afeyouefer ko mescuba di fimg,m me,Alternative2
Is that what you're saying?,whatdoy oume anex actl y i sthatwhatyou l esay i,,ng,Alternative1
"In addition to classifying the data, the machine also checks the figures.",inadditiondocl ass ivyingt hed at adhem achi  nearsoc h e c gsthevigures,h ebroukh thiz friend stoo,,Alternative1
Tom isn't one to gossip.,mdon etog ozzip   tomdoezmdtal ka boutit any mo le,to nis,,Alternative2
"I, too, was wondering about that.",wasw onterinkabo u ddh at  i fealway zwomdeledab out,ito o,that,Alternative1
Tom and Mary said they hoped John would be able to come to their party.,that tomandmarys aitd h eyhobedj oh nw oul tpeab re toco    metothei rbarty,do,t omamd ma lysa idthey hop ej  ohmw ilr helpth emwidhthei lhomewolk,Alternative3
This lies outside my area of expertise.,thislie s ou tsiden yal eaof expeldise,,i k mowm  ywaya roundhele,Alternative1
Italy has a rich history.,id alyhasarichh  isto ry,italyisfalf rom pla zi l,alger ia hasan ump elief able amoumtofhisdo licarzides,Alternative2
Why don't we sit here and wait for Tom?,why domdwesit he rean  dwai  dv oltom,why is tomm akink uzwai  dhere,why do ntw eg ozee ton,Alternative1
They became nervous when I told them I came from Algeria.,th eybecamene rfou s wheni t oldthem i cam efro malkeria  w ewelekoimkt og,ilo fe al geriateally,abyr iea rgeria,Alternative1
Your room is a lot neater than mine is.,o onisa lotmea t  erdha nm  ineis  myr oomzar e alme zz,yourr,,Alternative1
Sami doesn't eat red meat.,d oezmte atre dmead  samiis ride rarlysd,sa ni,alfimk,Alternative1
Sami promised his parents not to do that.,s amipr onisedhizpare md z n  ottodo dhad,s am idi dntkn ow ivhe was allowed todo that,,Alternative1
I still can't reach them.,r cantre ach them  theyw ontovelta,ist il,kene,Alternative1
"They say this novel is a classic, but I gave up at the prologue.",dink the ysay d hisnove li zac l assic  but,d hewr it ersrade ztnoveriswellw oldhr ea,igafe u  patdhebrorog ue,Alternative1
"When I was a child, I wanted to be an astronaut.",toth emoon wheni wa sa chird  iw antetto  beam asdro naut,iw a nt dof r y,do mstreamist obec ome a nastl onaut,Alternative1
He grabbed a good chunk of her hair.,heg rabp etag oot  ch umkofher hair  she brai de ,helof eshe lpl ed tyhair,tmyhail,Alternative2
Sami talked about his home life.,za mit alk edab oudhishon erife,zam il  iveti nahaumt ethouse,sami wentbac kdo hizh  ouse,Alternative1
She returned to the mosque., durne tdothemos que,zh ele,sa miha sjusdred urn edfro megybd,Alternative3
He was intelligent.,imtellikent  acdintellige nd,h ew as,,Alternative1
Tom and Mary said that they're well.,to man dnalysaidth a d theyrew erl,toma ntna  l ydoltne theyw erevi ne,tom antm a lysa i ddhatt heyweleoverwhern ed,Alternative2
Ziri changed his clothes in the empty classroom and he came out to the hall.,cloth  esint he  enbty classroomandh ecameo utt odh eha ll  zi,sir i changedhi s,riexchange dhi spil lv olchange,Alternative1
"You're a quick learner, keep it up.",y oure aquicklea  rmer geebi tub,you aref as tw  eareslow,youlev forts w illso  ombearvruid,Alternative3
"Suddenly, a phone rang and pierced the silent mosque.",zudtenlyapho m er amgan dpie rc etdhe zilentmos que,z anipi ckedu phiz ph oneamdc alletray ra,iu s edtog  etyerleda tf or hog kingthe phome,Alternative1
The reason I went to Boston was to buy this book.,t h ere as  omiwe ndtobos tonwas t  opuyth ispook,,ile allyw andedt  ogotob o ston,Alternative1
Ziri was not that sweet person anymore.,atsweetber  sona mym ore  zili,zir i wasnotth,w asby none a nzhy,Alternative1
Where's the men's room? I want to wash my hands., eletityo ushakeh andzw ith them wher e sthemen  sro oniwan tdo wazhny han ts,wh,coneh ereafte l y ouhave washedyour  hands,Alternative3
He was silent as a tomb.,hewas sile nt az atonb ,ton zbodywascl ema ded,hew az aptuctet,Alternative2
These oranges mature fast.,trink thisor ang ejuice thes eo rangesma tulefast,,th isor  angeis fro mourdlee,Alternative3
He was stretching.,hewa zstredc hing,hewasdo om ed,hehas we akened,Alternative1
Let's eat everything.,ledseatev ery thimk,w erea llhumkry,ilrmage uzsom ethin gtoe at ,Alternative1
We've got some celebrating to do.,wevego dsomec ele br  atimgdod o,we ztilrh a vequit  e ap idtodo,,Alternative1
Tom was elected on Monday., ct e dom momday  do mis dhrowin gabaltym exdza turday,tonwazele,,Alternative2
Sami ran out that back door.,sa ni sb acgd oolisopem zani ra n oudtha d bacg,,door,Alternative1
He seems to have something on his mind.,h eseemztohafeso methin kon his  m imd,zonethimgse ems ofv,th atz al lhethin kzabout,Alternative1
How much money does he possess?, uchm oney toes hepossess,ho wm,heha salo t of mom ey,Alternative1
Would you do me a favor and take this cup of coffee to Sami?,wo u r dyout om ea favola  ntt ake  t his cubovcofveedosami ,,woult youl ikea  mo thercupofde a,Alternative1
He hugged his knees.,ukged his knees  zh ehazs we pthimo,heh ,fvhiz feet,Alternative3
Igor tried to prevent Anna to find her way back.,igolt rieddob ref en danm atof imdh e  lwayp ack,iko lr each edfora mnazhamd,,Alternative1
Does she understand what he's saying?,doezsh eum terstamdwh at hezs ayimg,shesaidsheum d e rsdood,h eexplai medt he whole thi ngtohel,Alternative3
Did you ever talk to her?,didyoue fel t a rkt oher,have y o urea lrytar kedtoher,h avey ouspok en tothem,Alternative1
India needs to rebalance its workforce.,ameeds torebaranceit sworgforce   ine et tovi n dan ew job,im di ,,Alternative1
These gloves aren't mine.,thesegro vezar emdn ine,,the se klo veszhour dg eepm yhand zwalmenough,Alternative1
That's the woman about whom I talked.,u th at sdh ewoman abou twh omitalget,szwithyo,z hedo ltmesh em eed edt odalk,Alternative1
I'm not very interested in astronomy.,i ntele st edinasd lomomy  i dom tw andt ostuty,immotve ry,,Alternative1
What'll you cook today?,w hatsonthenemu ton i ght whatrlyo uc o okdoday,,wh enwas the rast time youco  og edaneal,Alternative3
Let's go a little further.,re ts goalidt lefu rthel,wewe mdf ardher,re tspu shon,Alternative1
She was dropped from the height of happiness into the depth of misery., askicg ing u pher hee rzwithde light zhewaz d lo ppe dvronthe heikhdofhappin   eszim todh edep thofmis ery,zhew,shec a u setafrighdemink acci demtbyconmi dtinksu icide,Alternative3
Our schedule is pretty tight.,oulzchedu lei sbret ty tight,ourtlaini nki sha ld,  w eta,Alternative1
He needs to stop her.,he nee tzdost obhel   ihav etos top,you h avet ozta yawayf r omher,th i z,Alternative2
"Yes, I'll come at once.",ilr k oivy ougo yezi  rrc oneatom ,,ce,Alternative1
Tom realized that Mary wanted to do that.,tonrea lisetmar y ha d dotothat domreali se dthat m aryw andetd ,,odo thad,Alternative1
I met Tom while we were both in jail.,i met af riend ofdo ms ine td omw hilew ewe r,, e bot himjail,Alternative1
This sounds like a job for him.,he s sucha lasyve llow d hiz so unds ligeajobvol  ,,hin,Alternative1
I don't want to repeat myself.,ido n twant tore pea tmysel,i wi lln o twan ttore toit,f,Alternative1
The man who shot the hare is a hunter.,the na mwho shod dh eh areisahun d er  m emnadisa m uldere,tom isahu nte randfizher na m,l,Alternative2
It was the only thing I could do.,on  lythi mgicour ddo  th a tisnt t heonl ydhi nkthati wan tetdodo,it w as the,,Alternative2
These soldiers are wearing civilian clothes.,tiers alewea r in gcifilia nclodhez  i msti llimumiforn,dhesesol,,Alternative1
My shoelace has snapped. I'll be with you in a tick.,m y shoe la cehaz snapp edirr pewith  youinatic k,th esh o esaretoo ti ght vorme,,Alternative1
"Tom pressed the button, but nothing happened.",tompre ssedth ebu tt onputnothinkhapbe ne d  to mh asndr earlyb eendoin kamythink,tomt id ntkn owwhichpu td ondo puzh,,Alternative2
Do I snore a lot?,iz n o realot  ami pe imgsacge t,t o,,Alternative2
They turned Tom in to the police.,t heydu lnet tonindodhe  polic e  the,d hepolicea rrestedto m, poli,Alternative1
Would that I had met you then.,wouldthati h ad  netyoudh  en,i do ldyoud onee t  mehere,toyou reme mbelme eti mgnebefore ,Alternative1
It's only over if you let it be over.,i ts  omlyov  e r ify  ouletitpeover,,ifit re allywimdsyo uup thism uc h may peitsap o udti  m e youlokoff,Alternative1
Yanni was living in Skura's room.,nmiwa srifi n ginexile y amni wa  slifingi mskurasloom,ya,d heyan ata sliv ei  navlatbe rowthi some,Alternative3
How many yards are in a mile?,how nam yy ar dza le,wha di st hew idthofthis  streed,ina nire,Alternative2
Tom wants you to come to Australia with me.,doubddomwil lw ant tokot o au sdra ria widhyou t om wamtzyo uto co nedo  auz,i,traliawidhm e,Alternative3
This is the signature dish of the restaurant.,t hiz is t hezignatuletis ho vtheleztaur ant  w h,t had zasign,atk indov l,Alternative1
"""Are you ready to go?"" ""Not yet. One minute.""", aley ouready  dogo motyet omem  imude,idl lre a tyin ju ztamonemt,w elel e atydokono w,Alternative1
I'd like a daiquiri.,c iarryr ikeli colice idl ikeadai qui ri,iesbe,iw anttoge t alo boto my,Alternative3
I want to sleep a little bit.,ed a litdl esleep i wan tt ozr eepar itt l,i guess ime,ebit,Alternative1
She thinks the world of him.,tha tzallhe thi nksaboud shet himksthew or lt o fhin,,sheth ou ghd itwas stupid,Alternative3
I'm the new owner.,im thene wow mer  iboug,ir lbuy you an e wome,h tane wha mdbag,Alternative3
I assured Tom that I wouldn't do that.,o wtonw o ul db ehes itanttod othat i as  s urett omth atiwouldntdot hat,ididnd kn,in quidec ertaim  tomdidnddo  thad,Alternative3
I like to play tennis.,munpl ayz tenniz ilik etoplay te nn i,,z,Alternative1
"I'm here to help you, Tom.",h er etoherby ou ton,i m,to mtold neyoumeed  hel p,Alternative3
Sami isn't supposed to open the door.,samiiz nts ubposedtoopem  dhedo ,sami sbac kd oolis oben, ol,Alternative1
Tom probably isn't going to do that this afternoon.,apl yisntgoi ng tot othatthis afder noon  isu spec ttomtitn twanttodod hatye sder tay,tompro p ,,Alternative1
The knife has a very sharp edge.,red tetmedra lizwrin gly thekmi veh azafer ysha r be dge,ab,i used h isknifeev ely day,Alternative3
I'm afraid something might happen.,raidsomedh ingnig hthap bem,in af,i hat eto thi mkwhad mightha ppem,Alternative3
I'm in college now.,imin colre ken ow  imz ta nd,wele in corlege,img in fromtof dhedolmnow,Alternative2
"You're looking for work, aren't you?",youleu nem proyeda lendyou y ou reroo ginkvolw olkare mtyo,,u,Alternative1
Tom will be busy at this time tomorrow.,ill b ebusya t thi st imet omorlow  tomw ilr,domw,perea dytodo dhat py tomorlo w,Alternative1
I especially like licorice.,iespeci all yli gericorice  i t rikeadaiq uiri,i likeleno naten ore tha norangeade,,Alternative2
I can get it done myself.,icamke tit do nem ys elf  ithou kh tth adicoultdotha tp ymys el f,icould vedoneth at  by myserfi  thimk,,Alternative2
"Peanut butter and jelly, please.",p eamutbudtera mdje r rypreaze  iw andcoffe et oazda n djerly,i ha tapeanutb udt erandjel lysa  ndwich,,Alternative2
