Sentence,noisy_sentence
I'll talk with Tom tonight.,widhdomdon i ght  letsdis cus sthad widht on
"Now, Tom is going to say the truth.",zomebodyshould telrto nth ed ruth 
I didn't know that you worked for a security company.,dm tknow thad youwor ge  tfolaseculi tyc ombamy  ig nowth aty ourecent lyg ota job
I didn't know that Tom knew who was going to help Mary do that.,ne wwho wa skoi mgtoh elbmalyd othad  ididm tk
You seem to know a lot about this.,youse emt o
I won't practice today., imd oink th atto day i wo ndbracticet oday
I just don't want you to catch my cold.,i ho pet hatido md cadc hacol t iju sd dontwam tyout oc atch
They're gonna know that you converted to Islam.,the yreko nma gn owdhatyou confe rdedto iz  lam
Tom should be along any minute.,toms h o uldbealonkanymi  n ute
It was a fluke.,hewasztup id 
Yanni's phone is probably in the garbage.,yannizbho nei zbrob abryi nt
People talk in Toki Pona in the chat room.,peop reta lk int okibon aindh ec  hadroo m
I want to know if you will refund the full purchase price.,fy  ouw illre f umdd hevullp  ulc hase brice  idsopfi ousdha dyoure interesteti
"After four, call Ziri.",s iliwill worgh altne xtt ime
She is known as auntie at the office.,sh eizkm owmasa um t ie atdh eoffice
I put on a hat because it was too sunny.,iput onah atb ec  au zei dwa  stoo z unny
He knows that he was wrong.,theyadmitte dth eirmizt akes
Tom could be related to you.,domc o uld bele la tedto  you
My cat does not like being stroked.,n ycattoeznotlige p e  ink ztr oket
Tom saw Mary's car in his driveway.,t onand  naly hit behindtheir car
I didn't know that we weren't supposed to do that today.,ididnt gmowdh  atwewe r emdsup po sedtodotha   ttoday
I don't like my coffee hot.,idr imk far doomuchc of vee
"The son of Heaven, when sacrificing, wore the cap decorated with twelve pendants of jade beads hanging down before and behind, and the robe embroidered with dragons.",t he sono fheave nwhemsa cr ivicingworethecapdecol  at et withtwel ve penda ndzov jad ep eadzhamgin kdownb  evo rea ndbe hindamd dh e  r obeembr oiteredwithdlakons
I thought that Tom wasn't asleep.,ithou gh tdhat tomw a smtasle  ep
Our group can't compete with an orchestra of that size.,weal em tvelyli kelydo sin gtoke ther o urgroupcandc ompetew idh a no rcheztl a oft
Do you have a ticket?,doy ouhaf ea pacgag e toul
Yanni didn't like Skura's drugs.,u kz
Would you mind turning down the music?,dyo unintdu rnimgdow  nth emuzic
Everyone says that Tom is a nice person.,d om i zoneo fth eswe etes d peopleiknow
We don't know that for sure.,o ndgnow th  a dvorsure  imnodc omp r etelysure
Tom knew that Mary cared.,to mkme wd ha tmarycal ed
He tries again and again.,he trie sag  ainand akain
Tom will never make it to the party.,do nwil l mev ermageid tothe p arty
Tom said that Mary thought he might not want to do that by himself.,d omzaid dha tm ary  dhoukhth e mik htmotw  ant to dothatby himself
"Tom is angry now, isn't he?",do ni sstillups e t isnthe
Tom doesn't know Mary.,tondoe snt kn owmaly
Last week I quickly read four books in my room.,wlitenofelz l as tweek iquick lyr eadvo  ulboogsinnyr 
"She promised to come, but hasn't showed up yet.",ebutha sn d sh  o wedupyet  zh e isnotye dle
"Fear, shame, and guilt are effective means of manipulating people.",g re eda ntfe a loflo ssa re t heroo d zthatre adtodhedree  ofefil
You won't pass the exam if you don't study for it.,wh ad  d oyour i gedod owhemyoua rentzdu dyink
He told me he'd do that for us.,he t o rtn e hedd oth ad forus
Yanni threw on a robe and went to the bathroom.,yan ni thr ew onalo b eamdwentto the  badhroom
Tom and Mary both studied French at the same university in Australia.,t om a ndmarybothst udie dfrenchatthesan eu niver z ityinauz d ralia
I thought Mary wouldn't like the book Tom gave her.,i thoukhtmarywo u ldmd lik etheb o okdonga v eher
Has anybody told Tom why he has to do that?,h azamy p odyt o lddomw hyh e hazdo do
Please don't be crude. We're in a mosque.,th is mozq ue izabi kba lt ovourli ves bre azet ontb ecrud ewe rein  
Benedito watered his thirsty herd.,benetidowa deredh isthils dyhe r d
Tom doesn't want you.,oe s ntwanty ou  y oud
We talked about our plans.,weta lkedabo udo  urpl ans
"The deeper we penetrate into the history of early institutions, the less we find grounds for the military theory of origin of authority. Even that power which later on became such a source of oppression seems, on the contrary, to have found its origin in the peaceful inclinations of the masses.",thed eepe lw ebemetr ate i  nt othehisdoryo fe ar ryin sdiduti onsdh ere s swevimdkl o u mdsfort heniritarytheoryov ol  i ginofaudho lityev  em thatpowerwhichlater ompeca  mesuch azour ceovopp  rezs iomse  e mzon thecon tla  lyt  ohavefou n t itsorikinint hepeacevulimcrin ationsovthenaszes  do youhafe anydhe orie z
Esperanto is a language that doesn't exclusively belong to a specific country.,ezb era mtois al angu age thadtoe sndexcl usiferybelonkd oasp ecificc ountr  y
Yanni was paranoid so much so that he accused Skura she had been having an affair with a neighbor.,y anmiwazpalamo id sonu  chso dh at h  eaccuz etsgurash eh  adpeenh   afingamaf fairw idhame
"When wood is chopped, woodchips will fly.",whemwood ischop 
I wish this had never happened.,i wish dhi zh adnefelhap pemed
I think that Tom would be happy if you did that.,tomd h atwoultto dha ti f youasgedhi mto id hingt had d om wouldb ehab pyifyo 
You'd better not tell Tom that.,yo utp etd e lno ddelldonthad
Won't they be busy tomorrow?,morrow
I'm glad no one is around.,d 
My little brother asked me for money.,nyb ro thertepe nt sommevor non ey
"OK, I'll see you tomorrow.", oki rlze ey oudo norlow
Sami and Layla began a new life together.,samiantlayla se en edtobeted he  retdo gedhel
Do you have more than three pair of shoes?,to youhave moretha mdh re   ebair ovs
Tom said that he plans to stay until Monday.,tomsa ith edit ntpl  a nongoing  dhisweek
I gave her another chance.,igav eherano the r  ch ance
I didn't know you would do that when you were in Australia.,ial mos dt idthat wheni w azinau stralia i didn tkn  o wyo  uwoul tdo thatwh emyouw eleina
Is carnelian a flower?,i sthe toffeevega n izcarn el iama flow
I wonder if Tom and Mary are still here.,i m pr etty zuretoma nd maryhafe beemhere bef ole
"Rosetta's probe, Philae, has successfully landed on the comet 67P/Churyumov–Gerasimenko.",rosettasprobe phiraeh a szuccessf ul l yramdetontheconed67b c hulyumov–ker  asinenk o
He didn't smile.,dontlauk h adhi n
Tamagoyaki is a Japanese-style omelet.,jap ameseisco nsideret amomocentric lam guage
She said that she could take it.,he sai  dheco  ulddoit
I stood there rooted to the spot.,i stoo dthe reroote dtodhe s pot
"You will notify Tom, won't you?",yout b ettern od telrtom that
I've never used a blowtorch.,ive mever us edabl owtorch
The caller didn't identify herself.,mo onez an sweringdheb hone the carleldidm didemti 
It's just a matter of time before that happens.,med t obethe read thattime idsju sta matter  ovtinepev ore dh adh appem
Sami's doctor came in.,she wemtto th etocto r
It isn't like that at all.,velybotyrikes doi ngth iz
Ziri removed the tables and slowly opened the door.,s irile movedthe taples ands  lowly openetdhe toor  sir
Such a bad custom should be done away with.,su ch abadcus ton s hourdb edom eaway with  her
"Mary is almost broke, isn't she?",i sarmosdbr oke is ntzhe  na ryizo
I don't want to talk now. I'm tired.,it ondwamdd ofa ll asle epyet id on twand to talgm
I am nervous and scared.,immore dha mali ddr escare t
The bomb separated from the ship.,thebompzeparat edf lo mdh  es  hip
Who told you about me?,whoto rdyou  ab oudne
Ziri attended the locals' wedding.,zi riiz aze ri aladurterel
Yanni has lots of cash.,ya nn ihat awik on
Tom knew he had nothing to lose.,tom c ouldntha ve knowmdhat
I'm staying at the same hotel where Tom and Mary are staying.,im sd ayin gad d hesam ehot elwhereto mantm ar yar eztayink
With all her merits she was not proud.,zh ep aidthe mamostkem e lo uscomplimemt
Tom learned French from an old man in his neighborhood.,tonlearm edfle nchf lonan o lt naminhi  sneighpo lhoot
What if they don't like my presents?,whad ifd heydom t rige nybr esemtz
Mary told me she couldn't help me do that.,that b yherzelf ma ly doldnezhe c ould  ndhel pmed o
War always brings tragedy.,w ara lwayspringsdr akety
One could tell from her eyes that she'd been drugged.,o m eco uld te llfromhereyezt hadshedpe  e m
How long do you think it would take to do that?,think you’ llneed ho wlonkd oyo u thingi   twour ddaket  
Tom will be coming home from school early today.,ton wir lb ec oninghonevro mzc hoolea  rl ydoday
The shoes are too tight for me.,the zhoe zalet ootig ht vo rne  dhese
In the center of the park stands a stone monument.,thecemt ibedeclawlet ben eaththe moz sysdo nes
I told Tom to give up on that crazy idea.,ito r tt om dok ive ubontha   tcras yitea
They don't know anything about Mary's family.,th ey dontkmowanyt hi mg aboutmarysfam iry
September 11 is my favorite day of the year.,zep te mbel1 1ismy favo rite tay of dheyear
He poured himself cup of herbal tea.,hepoure th imselfcup of he l bartea
Send him a message.,sendhimame s sa  g e
The situation of the villagers is better than ten years ago in many ways.,im theuz v ordeny ealzmow th ezidua ti  onovthefilla  gersis better dhan
Tom wrote a letter to his brother in Boston.,ea  led dertohisb rot herin bosdon  tommove
How did you spend last summer vacation?,s pend razt sunmerfac adion  wh eretidsheg or as
"Since I don't have the software to open the attached file, I can't open it. Please send it again in another format.",si n ce itonthav ethe zof tw  ar ed oo pem theatdach  etfileicam dob  enit ple azesemditagainim a modhe rfolmat
It looks like Tom and Mary are having fun.,nant nar yaleha fi  mgfun  t oma ntm ar ylookasivthey
"Mary is good at geography, isn't she?",yisg oodadgeo krab hy isn tshe  maryispr etd yclaftyi z mds he
If a restaurant has valet parking it's probably pretty expensive.,etpar  kingit sp r obabrybrettyexpe msife  it sag oodr
What are you promising me?,w hat d oiow eyou whad ar eyo ubro niz
I guess you know what to do.,ikno wn o wwha twehav  ed odo
The weekend is here.,el e
"If you can, get a sketchbook and a 4B pencil. You don't need such expensive art materials yet.",ifyouca ng eta sk etc hpookan d a 4bbenci lyou  t on  tn  ee tsuch expensiveardmadelialsyet
I've reconsidered it.,if elec onsideretit  iv
I got a farewell present from everyone.,tyhere hasbeenvelykind tome igo tafalewel lb res en
She walked into her bedroom.,s hew alk etimto herroom
Sami is not here to just hear Layla rant.,za m ii  smo th eletojusdh ea l laylalamt
"You'll do that again today, won't you?",th at dodaywil lyou youl ldodha tagaint o da
I felt a lump in my throat.,i feltat ee pbai n
I wonder how long Tom will stay there.,howmuchno red inedo  youd  hinktomw i  llne ed do todhat
I don't often do that on Mondays.,d ontovtendo dha  dommo  ndayz  i vepe en doi mgd hadeverynikht
Tom hasn't saved anything for retirement.,sndza vetamydhingv orleti ren ent  tomd id nt ketbaidfortoi nk dhat
This is an important matter.,idsa matt erovdheut mo sti nbortanc e
"You should be more careful about what you say in mixed company. I know you're just joking, but not everyone would understand.",rrme your enodzeliouz yous hourdpe  morec arefu lapoudwh a ty ousayimm  ixedcompany ikmowyo ureju   sdj
Tom usually only eats two meals a day.,domuzuar l yon l yeatstw om
He was stupid.,hew
Don't laugh at him.,do mtlauk ha dhim
Why not change the size?,w
I know how to cook Chinese food.,vromton ik nowhow to  cook ch
There is a shared knowledge.,ereisaz haletkno wl edg e  i
Tom is playing solitaire.,d om playedhimzerf
There is frost on the grass this morning.,it kodco lde rda ybyda y t here izfro ston d hegra zs
Jonas told Amelia to go to the back door.,eliadog o t othep ac ktool  l e on alri ved
The firm was heading for bankruptcy.,t hev ict imdeclim eddopreszcharges 
I did that before I moved to Kabylie.,idi dt hatp eforeim ofedto ga  byrie
I had no idea that Tom knew how to speak French., it eat hatton kn ewho wto s beakfr  ench  id idmt
"I love sports, too.",o
"You said Tom was kind and he certainly is, isn't he?",gu yisn dhe yo usaidtomw asgin damd hecel ta  i nl yi
He began to worry about her.,iwazwo rried vor  he rsafety
I checked the door to make sure it was locked.,i c hec kedt hed o or tonagesuleitw a
I'll take care of it personally.,i rrtageca reof id  pe
"In my opinion, we need to diversify our assets.",immyobiniom wen eetto t ife rzi fy o u
Don't ring me any more.,p rea zedom tn akemed
"""Tom, you idiot."" ""I don't want to be called an idiot by an idiot, idiot.""", do myou idiot idon  tw antdo  becal leda nitiotb ya  nidiotidio t
Mennad is nuts about Baya.,ne mnatwas vol rowingpa yao nfacebook
I hope that Tom understands how grateful I am.,ih obedhatdo mu nd elstands  ho wk rat
My cat killed this mouse.,themou sez queaked mycat kirred this m
Tom has lost all his teeth.,tomisb laztere d
You're the only one who doesn't have an umbrella.,y oule theon lyo  new hodoesnthafeam u nb lella
Tell Tom to be here at 2:30.,to m wi llbickme upat  230
I'm going to buy Tom a present.,t i ngoimg do buydo 
Sami went to a Christian school.,iwe n tt oach liz tiamschool
I have thirteen names on my list.,p reasetake mym ameof ft helist ihav e thi ldee m name
Have you worked out how that was done?,ha feyou  wolg ed outh owd ha dwazdone
I'll get her some milk.,ilrget
It's so easy to weave a basket.,it sat ifficurtr   oudedotage
"A few years back it was struck by lightning, which has left a deep groove on its trunk.",t ruc kbyr igh tninkwh i c hhasrefta  de eb gr ooveon itsdrunk  yammik od thad
They say psychology isn't an exact science.,imnotaso cio ba dh the ysayp syc horokyis ndanex ac dzcienc
"If the lady desires, 20% discount is possible.",how muc hof a discou mt canyou gi feme
Tom keeps bringing me down.,t onhitme ha rd
I was wondering the same thing.,iask ete velyoned hes anequ estiom
Tell me about some of the places you've visited.,whatsdhep e stpl aceyo u veevel visited
